Size,Time_ms
50,0.0026
70,0.0034
90,0.005
110,0.006
130,0.0072
150,0.0084
170,0.0096
190,0.011
210,0.0124
230,0.0138
250,0.0148
270,0.0168
290,0.019
310,0.0184
330,0.0206
350,0.0218
370,0.0228
390,0.0252
410,0.0264
430,0.0294
450,0.0296
470,0.0276
490,0.0286
510,0.0308
530,0.031
550,0.0328
570,0.0338
590,0.0378
610,0.0364
630,0.0396
650,0.0402
670,0.0518
690,0.0494
710,0.0456
730,0.0456
750,0.047
770,0.0474
790,0.0496
810,0.0504
830,0.0522
850,0.0562
870,0.056
890,0.059
910,0.061
930,0.0628
950,0.071
970,0.0652
990,0.0658
1010,0.0642
1030,0.0686
1050,0.0732
1070,0.0714
1090,0.0748
1110,0.0778
1130,0.076
1150,0.0782
1170,0.082
1190,0.0856
1210,0.0858
1230,0.0862
1250,0.0892
1270,0.0894
1290,0.093
1310,0.0924
1330,0.0964
1350,0.0956
1370,0.0996
1390,0.1008
1410,0.1068
1430,0.1036
1450,0.1032
1470,0.1176
1490,0.1118
1510,0.1094
1530,0.1136
1550,0.1194
1570,0.1124
1590,0.1166
1610,0.1142
1630,0.119
1650,0.1218
1670,0.1266
1690,0.1282
1710,0.1252
1730,0.1298
1750,0.135
1770,0.1322
1790,0.135
1810,0.1336
1830,0.1378
1850,0.1364
1870,0.1416
1890,0.1456
1910,0.1428
1930,0.1512
1950,0.1456
1970,0.149
1990,0.152
2010,0.154
2030,0.1622
2050,0.1628
2070,0.1464
2090,0.146
2110,0.171
2130,0.1548
2150,0.1562
2170,0.1612
2190,0.1628
2210,0.1786
2230,0.1572
2250,0.1742
2270,0.1666
2290,0.1724
2310,0.1794
2330,0.1806
2350,0.2022
2370,0.1704
2390,0.1866
2410,0.1948
2430,0.185
2450,0.1882
2470,0.1876
2490,0.1932
2510,0.2024
2530,0.1848
2550,0.1918
2570,0.2016
2590,0.198
2610,0.2002
2630,0.2152
2650,0.2176
2670,0.2018
2690,0.1978
2710,0.205
2730,0.2118
2750,0.2062
2770,0.2126
2790,0.2062
2810,0.2256
2830,0.2206
2850,0.221
2870,0.2364
2890,0.2206
2910,0.2154
2930,0.2166
2950,0.2392
2970,0.2616
2990,0.2506
3010,0.2482
3030,0.2518
3050,0.2294
3070,0.2274
3090,0.2424
3110,0.2402
3130,0.2354
3150,0.262
3170,0.2306
3190,0.245
3210,0.2442
3230,0.2538
3250,0.2428
3270,0.2532
3290,0.274
3310,0.2704
3330,0.2638
3350,0.267
3370,0.2478
3390,0.2594
3410,0.2704
3430,0.2662
3450,0.2912
3470,0.2716
3490,0.2846
3510,0.2746
3530,0.3052
3550,0.2974
3570,0.3028
3590,0.2752
3610,0.2922
3630,0.2822
3650,0.3008
3670,0.372
3690,0.289
3710,0.2988
3730,0.3158
3750,0.291
3770,0.2908
3790,0.322
3810,0.3064
3830,0.315
3850,0.304
3870,0.3098
3890,0.3318
3910,0.3142
3930,0.3336
3950,0.3316
3970,0.322
3990,0.314
